# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
4, U Nghỉ dưỡng;U Hồ sông suối;T Nghỉ dưỡng;price:3;price:4: (30, 3.7174296), (37, 3.509085), (46, 3.5038605), (38, 3.5014462), (39, 3.4737537), (28, 3.4715774), (50, 3.4402006), (48*, 3.4197645), (44, 3.3379955), (41, 3.2977297), (29, 3.2803319), (45, 3.168899), (1, 3.1395993), (5, 3.089681), (8, 3.0691788), (21, 3.0675673), (27, 3.019674), (16, 3.0117958), (22, 2.9980686), (20, 2.980879), (40, 2.9110048), (7, 2.8083932), (32, 2.7838292), (10, 2.7808964), (43, 2.7180173), (15, 2.6843026), (19, 2.6833797), (49, 2.6410577), (3, 2.6340017), (2, 2.613576), (42, 2.59832), (11, 2.589771), (9, 2.5616765), (24, 2.5388572), (13, 2.5032196), (53, 2.4601264), (52, 2.4536157), (47, 2.3811765), (35, 2.370883), (25, 2.3286586)
10, U Ẩm thực;U Đô thị;U Đồi núi;U Rừng;T Tham quan;T Thắng cảnh;T Ẩm thực;T Giải trí;price:3;price:4: (48, 5.1692595), (11, 4.8479986), (14, 4.7292414), (9, 4.5410924), (37, 4.464506), (4, 4.460238), (45, 4.4427433), (5, 4.28089), (32, 4.2698493), (15, 4.223507), (29, 4.2114177), (1, 4.209297), (25, 4.1963205), (2*, 4.114624), (40, 4.089849), (34, 4.0051584), (42, 3.9811034), (51, 3.9628475), (19, 3.93438), (28, 3.9119687), (16, 3.8959415), (7, 3.8029156), (8, 3.7921104), (36, 3.7695365), (47, 3.7416704), (49, 3.7293143), (52, 3.7197812), (39, 3.5963886), (21, 3.5738766), (31, 3.5530229), (33, 3.4983077), (12, 3.4515042), (41, 3.4507957), (26, 3.3764868), (38, 3.2714317), (53, 3.2669017), (44, 3.171944), (20, 3.1396837), (43, 3.1335728), (23, 3.1254625)
10, U Ẩm thực;U Đô thị;U Đồi núi;U Rừng;T Tham quan;price:5: (4, 5.128806), (9, 4.8882895), (48, 4.8362584), (37, 4.789838), (25, 4.7470574), (15, 4.6712794), (40, 4.655171), (14, 4.6201444), (45, 4.6092033), (32, 4.399705), (16*, 4.39665), (29, 4.330162), (42, 4.3077044), (2, 4.2939076), (5, 4.2906556), (36, 4.277043), (34, 4.271868), (47, 4.1849957), (51, 4.1507387), (19, 4.1472425), (7, 4.1397567), (28, 4.043115), (26, 4.0196447), (39, 3.9754379), (13, 3.8854957), (49, 3.8815646), (8, 3.832169), (53, 3.8310463), (31, 3.8219786), (33, 3.7462823), (21, 3.6819344), (1, 3.6657345), (41, 3.6145403), (35, 3.585645), (24, 3.5598533), (20, 3.4838238), (10, 3.434881), (18, 3.392292), (44, 3.3897843), (23, 3.3871539)
13, U Tâm linh;U Tham quan;U Nông thôn;U Đồi núi;T Tham quan;price:1;price:2: (7, 5.309527), (32, 5.226962), (14, 4.7791667), (53, 4.5823946), (8, 4.522029), (52, 4.5088997), (41, 4.4931564), (16, 4.464817), (2, 4.4229755), (37, 4.4195466), (43, 4.3498225), (25, 4.29812), (40, 4.291308), (17, 4.2528644), (15, 4.2521963), (19, 4.1966066), (33, 4.1126776), (10, 4.1087985), (24, 4.1042914), (34, 3.9397154), (36, 3.8198285), (50, 3.8124552), (9, 3.8087382), (26, 3.7814398), (11, 3.7647834), (49, 3.7515001), (21, 3.7414515), (39, 3.7386794), (30, 3.6533072), (1, 3.5920904), (48, 3.56415), (47, 3.470357), (22, 3.4366274), (5, 3.3941693), (23, 3.3548906), (44, 3.2954123), (31, 3.2697036), (13, 3.0737855), (42, 3.0558152), (12, 2.9816628)
13, U Tâm linh;U Tham quan;U Nông thôn;U Đồi núi;T Thắng cảnh;T Giải trí;T Hồ sông suối;price:2;price:3: (7, 5.062926), (32, 4.890661), (52, 4.7754474), (8, 4.7242203), (41, 4.720754), (14, 4.561635), (53, 4.503215), (43, 4.4589243), (2, 4.403699), (17, 4.3307343), (15, 4.280625), (34, 4.278175), (37, 4.234097), (25, 4.1957717), (10, 4.0870137), (1, 4.081981), (19, 4.0771956), (40, 4.02316), (33, 3.984061), (16, 3.9344735), (39, 3.858633), (48, 3.792765), (24, 3.729706), (9, 3.6972227), (50, 3.6809118), (49, 3.667518), (11, 3.5136945), (23, 3.50431), (44, 3.496779), (26, 3.399984), (36, 3.3383813), (5*, 3.3235877), (21, 3.3130648), (47, 3.2536278), (31, 3.161065), (22, 3.0718434), (30, 3.0550861), (51, 3.0137434), (3, 2.7111597), (29, 2.679652)
15, U Tham quan;U Ẩm thực;U Giải trí;U Mạo hiểm;U Đô thị;U Nông thôn;U Đồi núi;U Rừng;T Tâm linh;price:5: (15, 4.7520537), (34, 4.727427), (2, 4.382968), (25, 4.3691845), (36, 4.249337), (32, 4.085934), (37, 4.0261917), (51, 4.025768), (8, 3.8364153), (7, 3.8249917), (28, 3.7567725), (16, 3.5870287), (48, 3.5764515), (53*, 3.5512862), (41, 3.5040092), (9, 3.4159904), (40, 3.3825645), (45, 3.3031218), (19, 3.213526), (33, 3.1162627), (29, 3.1130226), (1, 3.072597), (39, 3.0724258), (4, 3.0048857), (14, 2.9412646), (44, 2.878726), (21, 2.8509276), (24, 2.8444114), (30, 2.7337048), (46, 2.7102044), (22, 2.6497738), (10, 2.644401), (5, 2.6307204), (26, 2.5861485), (3, 2.5335963), (47, 2.5206711), (35, 2.518154), (42, 2.5010135), (20, 2.4691217), (31, 2.447204)
17, U Di tích;U Ẩm thực;U Giải trí;U Nghỉ dưỡng;U Mạo hiểm;U Hồ sông suối;U Đô thị;U Đồi núi;U Rừng;T Biển;price:5: (22, 4.1893067), (37, 4.0274634), (25, 3.9775677), (45, 3.9069097), (16, 3.7765105), (28, 3.7367651), (38, 3.7229507), (29, 3.7120266), (46, 3.5862174), (44, 3.451893), (35, 3.3991792), (34, 3.3851664), (41, 3.3642397), (48, 3.3289633), (36, 3.312686), (39, 3.1954246), (9, 3.172612), (20, 3.0739677), (15, 3.0595887), (8, 3.040076), (21, 2.9730692), (32, 2.9527614), (10, 2.8830419), (51, 2.7847223), (40, 2.7382894), (1, 2.6813574), (2, 2.6575153), (11, 2.6309533), (26, 2.6289327), (30, 2.626018), (5, 2.6244922), (50*, 2.5157652), (3, 2.4788558), (47, 2.447462), (4, 2.4347332), (27, 2.4250588), (24, 2.3943262), (42, 2.3762891), (53, 2.2732205), (14, 2.106787)
17, U Di tích;U Ẩm thực;U Giải trí;U Nghỉ dưỡng;U Mạo hiểm;U Hồ sông suối;U Đô thị;U Đồi núi;U Rừng;T Ẩm thực;T Giải trí;T Mạo hiểm;price:2;price:3;price:4: (22, 4.928211), (37, 4.6633573), (28, 4.625451), (29, 4.54232), (48, 4.501847), (45, 4.4286475), (38, 4.2751293), (1*, 4.2227044), (16, 4.1921496), (25, 4.1886106), (41, 4.1596575), (44, 4.0442767), (9, 3.9525661), (8, 3.8574588), (32, 3.7980843), (34, 3.791769), (36, 3.742327), (20, 3.7330773), (21, 3.726186), (5, 3.6709003), (46, 3.6327672), (39, 3.4996603), (15, 3.433705), (42, 3.398477), (51, 3.3380728), (30, 3.2893944), (2, 3.2579217), (10, 3.2151117), (14, 3.1958017), (19, 3.1252143), (40, 3.0963874), (3, 2.9950342), (7, 2.9781854), (26, 2.955971), (11, 2.9160705), (50, 2.882571), (52, 2.8689609), (4, 2.798673), (24, 2.778563), (27, 2.733284)
17, U Di tích;U Ẩm thực;U Giải trí;U Nghỉ dưỡng;U Mạo hiểm;U Hồ sông suối;U Đô thị;U Đồi núi;U Rừng;T Tâm linh;price:5: (22, 4.005746), (37, 3.8376532), (25, 3.817835), (16, 3.6555538), (45, 3.6204205), (29, 3.580329), (28, 3.5578685), (44, 3.540237), (35, 3.491174), (46, 3.469084), (38, 3.4436297), (34, 3.237011), (41, 3.2212694), (48, 3.1814137), (36, 3.1663382), (39, 3.0854537), (20, 3.0310955), (9, 3.0219083), (32, 2.993059), (8, 2.9654949), (15, 2.7622828), (21, 2.70288), (40, 2.6841683), (10, 2.6454508), (51, 2.6280565), (26*, 2.6012383), (2, 2.5724645), (11, 2.5697749), (30, 2.5012302), (50, 2.4681473), (5, 2.464286), (42, 2.4054816), (24, 2.3656926), (3, 2.323772), (4, 2.2900405), (1, 2.2747715), (27, 2.2238536), (47, 2.2107296), (19, 2.183811), (7, 2.1621258)
17, U Di tích;U Ẩm thực;U Giải trí;U Nghỉ dưỡng;U Mạo hiểm;U Hồ sông suối;U Đô thị;U Đồi núi;U Rừng;T Di tích;T Tham quan;T Nông thôn;price:1;price:2: (37, 4.471426), (22, 4.452411), (45, 4.1717076), (44, 4.118458), (25, 4.078707), (36, 4.059993), (16, 4.0363216), (28, 3.9802787), (38, 3.9652407), (21, 3.8421278), (29, 3.8287766), (42, 3.7111754), (32, 3.6847148), (9, 3.6317985), (20, 3.6243973), (35, 3.5738842), (46, 3.552214), (48, 3.5501828), (34, 3.5166042), (41, 3.490612), (15, 3.4078116), (40, 3.2329657), (11, 3.206321), (30, 3.198049), (8, 3.1820931), (5, 3.1252725), (1, 3.070284), (39, 3.0432215), (26, 3.037841), (2, 3.0079343), (51, 2.9930477), (19, 2.990013), (10, 2.9858177), (50, 2.945919), (4, 2.918552), (47, 2.8813076), (3, 2.7618825), (24, 2.7574236), (14, 2.7157176), (27, 2.6984863)
